Section,Starting_x,Starting_y,End_x,End_y
1,-330.406105,-512.160790,-333.105808,-516.367971
1,-333.105808,-516.367971,-335.805916,-520.574895
1,-335.805916,-520.574895,-338.506448,-524.781547
1,-338.506448,-524.781547,-341.207427,-528.987914
1,-341.207427,-528.987914,-343.908874,-533.193983
1,-343.908874,-533.193983,-346.610810,-537.399739
1,-346.610810,-537.399739,-349.313258,-541.605170
1,-349.313258,-541.605170,-352.016238,-545.810261
1,-352.016238,-545.810261,-354.719772,-550.014998
1,-354.719772,-550.014998,-357.423882,-554.219368
1,-357.423882,-554.219368,-360.128589,-558.423357
1,-360.128589,-558.423357,-362.833915,-562.626952
1,-362.833915,-562.626952,-365.539881,-566.830138
1,-365.539881,-566.830138,-368.246508,-571.032902
1,-368.246508,-571.032902,-370.953819,-575.235231
2,-370.953819,-575.235231,-373.661834,-579.437110
2,-373.661834,-579.437110,-376.370575,-583.638526
2,-376.370575,-583.638526,-379.080064,-587.839465
2,-379.080064,-587.839465,-381.790322,-592.039914
2,-381.790322,-592.039914,-384.501370,-596.239858
2,-384.501370,-596.239858,-387.213221,-600.439290
2,-387.213221,-600.439290,-389.924087,-604.639302
2,-389.924087,-604.639302,-392.628263,-608.843380
2,-392.628263,-608.843380,-395.319534,-613.055322
2,-395.319534,-613.055322,-397.991681,-617.278928
2,-397.991681,-617.278928,-400.638488,-621.517997
2,-400.638488,-621.517997,-403.253737,-625.776327
2,-403.253737,-625.776327,-405.831212,-630.057720
2,-405.831212,-630.057720,-408.366541,-634.364845
2,-408.366541,-634.364845,-410.881969,-638.684107
2,-410.881969,-638.684107,-413.419741,-642.989689
2,-413.419741,-642.989689,-416.022585,-647.255478
2,-416.022585,-647.255478,-418.718787,-651.464369
2,-418.718787,-651.464369,-421.480474,-655.634284
2,-421.480474,-655.634284,-424.266123,-659.791659
2,-424.266123,-659.791659,-427.035356,-663.962081
2,-427.035356,-663.962081,-429.790018,-668.139794
2,-429.790018,-668.139794,-432.585460,-672.279330
2,-432.585460,-672.279330,-435.480477,-676.332664
2,-435.480477,-676.332664,-438.533865,-680.251769
2,-438.533865,-680.251769,-441.804419,-683.988619
2,-441.804419,-683.988619,-445.350934,-687.495188
2,-445.350934,-687.495188,-449.231949,-690.723036
2,-449.231949,-690.723036,-453.458099,-693.546343
2,-453.458099,-693.546343,-457.936461,-695.672148
2,-457.936461,-695.672148,-462.607121,-696.886542
2,-462.607121,-696.886542,-467.503171,-697.211263
2,-467.503171,-697.211263,-472.559827,-696.937117
2,-472.559827,-696.937117,-477.629299,-696.492695
2,-477.629299,-696.492695,-482.550683,-695.743721
2,-482.550683,-695.743721,-487.196780,-694.268066
2,-487.196780,-694.268066,-491.600394,-692.135099
2,-491.600394,-692.135099,-495.832542,-689.533774
2,-495.832542,-689.533774,-499.964238,-686.653043
2,-499.964238,-686.653043,-504.062321,-683.669311
2,-504.062321,-683.669311,-508.178025,-680.712126
2,-508.178025,-680.712126,-512.358948,-677.900104
2,-512.358948,-677.900104,-516.651964,-675.350276
2,-516.651964,-675.350276,-521.079361,-673.125709
2,-521.079361,-673.125709,-525.633366,-671.223487
2,-525.633366,-671.223487,-530.304378,-669.636675
3,-530.304378,-669.636675,-535.082793,-668.358338
3,-535.082793,-668.358338,-539.959008,-667.381541
3,-539.959008,-667.381541,-544.923420,-666.699349
3,-544.923420,-666.699349,-549.966265,-666.305055
3,-549.966265,-666.305055,-555.052606,-666.227535
3,-555.052606,-666.227535,-560.095279,-666.569485
3,-560.095279,-666.569485,-565.000630,-667.442778
3,-565.000630,-667.442778,-569.681381,-668.947645
3,-569.681381,-668.947645,-574.135589,-671.028530
3,-574.135589,-671.028530,-578.422186,-673.518755
3,-578.422186,-673.518755,-582.601411,-676.249246
3,-582.601411,-676.249246,-586.724385,-679.078798
3,-586.724385,-679.078798,-590.809026,-681.967663
3,-590.809026,-681.967663,-594.865695,-684.899187
3,-594.865695,-684.899187,-598.904753,-687.856713
3,-598.904753,-687.856713,-602.936561,-690.823584
3,-602.936561,-690.823584,-606.971479,-693.783144
3,-606.971479,-693.783144,-611.019870,-696.718736
3,-611.019870,-696.718736,-615.090251,-699.616768
4,-615.090251,-699.616768,-619.178821,-702.484139
4,-619.178821,-702.484139,-623.276717,-705.336161
4,-623.276717,-705.336161,-627.375064,-708.188169
4,-627.375064,-708.188169,-631.464986,-711.055501
4,-631.464986,-711.055501,-635.537608,-713.953491
4,-635.537608,-713.953491,-639.584053,-716.897476
4,-639.584053,-716.897476,-643.595599,-719.902520
4,-643.595599,-719.902520,-647.585863,-722.943617
5,-647.585863,-722.943617,-651.614165,-725.913808
5,-651.614165,-725.913808,-655.745409,-728.696114
5,-655.745409,-728.696114,-660.040229,-731.180951
5,-660.040229,-731.180951,-664.502762,-733.356538
5,-664.502762,-733.356538,-669.097148,-735.280331
5,-669.097148,-735.280331,-673.786683,-737.011251
5,-673.786683,-737.011251,-678.540120,-738.593570
5,-678.540120,-738.593570,-683.346046,-740.018309
5,-683.346046,-740.018309,-688.197554,-741.264393
5,-688.197554,-741.264393,-693.087737,-742.310748
5,-693.087737,-742.310748,-698.009688,-743.136299
5,-698.009688,-743.136299,-702.956501,-743.719969
5,-702.956501,-743.719969,-707.921268,-744.040686
5,-707.921268,-744.040686,-712.896835,-744.081265
5,-712.896835,-744.081265,-717.874398,-743.850408
5,-717.874398,-743.850408,-722.844481,-743.367385
5,-722.844481,-743.367385,-727.797605,-742.651496
5,-727.797605,-742.651496,-732.724291,-741.722038
5,-732.724291,-741.722038,-737.615061,-740.598313
5,-737.615061,-740.598313,-742.460436,-739.299620
5,-742.460436,-739.299620,-747.250076,-737.842264
